"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","listNum","priority","total_goal","goalType","conflict","connectedness","instrumentality"
"ALAOEYIYW0CW7",3.45,1.35,5,2.75,2.06,1.25,0.5,4.25,3.2,1,0,1.5,3.25,5,3,5,"recurrance",3,7,7
"AY4E4CDN0J6JL",1.5,1.42,1,1,0,2,0,1,0,1.67,1.15,-1,-0.67,4,1,4,"short-term",2,1,7
"AY4E4CDN0J6JL",1.5,1.42,2,2,1.73,1,0,2,1,1.33,0.58,1,0.67,4,2,4,"recurrance",1,1,4
"AY4E4CDN0J6JL",1.5,1.42,3,1.33,0.58,1.67,1.15,1,0,1.33,0.58,-0.33,-0.33,4,3,4,"short-term",2,1,3
"AY4E4CDN0J6JL",1.5,1.42,4,1.67,1.15,1,0,2,1.73,1.33,0.58,0.67,0.67,4,4,4,"short-term",1,1,3
"A12JKSH2NE5W9N",2.5,2.5,1,3,NA,3,NA,2,NA,2,NA,0,0,2,1,2,"recurrance",2,5,7
"A12JKSH2NE5W9N",2.5,2.5,2,2,NA,2,NA,3,NA,3,NA,0,0,2,2,2,"long-term",4,2,6
"A1NVF1YLDLF563",2.33,2,1,1.5,0.71,1.5,0.71,1.5,0.71,1.5,0.71,0,0,3,1,3,"recurrance",2,4,6
"A1NVF1YLDLF563",2.33,2,2,2.5,2.12,1.5,0.71,3,1.41,2.5,2.12,1,0.5,3,2,3,"recurrance",1,5,5
"A1NVF1YLDLF563",2.33,2,3,3,1.41,3,1.41,2.5,2.12,2,0,0,0.5,3,3,3,"recurrance",3,4,6
"A1WZY0K6IE3ASG",4.4,1.55,1,4.5,2.65,1.25,0.5,5,2.71,1.5,0.58,3.25,3.5,5,1,7,"recurrance",1,4,5
"A1WZY0K6IE3ASG",4.4,1.55,2,4.25,2.36,1.5,0.58,4.75,2.63,1.25,0.5,2.75,3.5,5,2,7,"recurrance",1,6,6
"A1WZY0K6IE3ASG",4.4,1.55,3,1.75,1.5,2.25,0.5,3,2.31,2,0.82,-0.5,1,5,3,7,"recurrance",2,4,5
"A1WZY0K6IE3ASG",4.4,1.55,4,5.75,0.96,1.75,0.96,4.75,2.5,1.5,1,4,3.25,5,4,7,"recurrance",2,3,6
"A1WZY0K6IE3ASG",4.4,1.55,5,5.75,0.5,1,0,4.5,1,1.5,0.58,4.75,3,5,5,7,"recurrance",1,2,7
"AL7UTA8J27TFK",4.75,1,1,6,1.73,1,0,4.67,2.52,1,0,5,3.67,4,1,3,"recurrance",1,7,7
"AL7UTA8J27TFK",4.75,1,2,4.33,0.58,1,0,5.67,1.53,1,0,3.33,4.67,4,4,3,"long-term",1,5,6
"AL7UTA8J27TFK",4.75,1,3,3.33,1.15,1,0,3.67,0.58,1,0,2.33,2.67,4,3,3,"short-term",1,3,4
"AL7UTA8J27TFK",4.75,1,4,5.33,2.08,1,0,5,1.73,1,0,4.33,4,4,2,3,"long-term",2,7,7
"A13FUEPWBCLBUY",6,2,1,6,NA,2,NA,6,NA,2,NA,4,4,2,1,2,"recurrance",1,6,5
"A13FUEPWBCLBUY",6,2,2,6,NA,2,NA,6,NA,2,NA,4,4,2,2,2,"recurrance",1,7,6
"A1XRWOK00HK1J4",2,1.25,1,1,0,1.67,0.58,1,0,1.33,0.58,-0.67,-0.33,4,3,4,"recurrance",1,3,1
"A1XRWOK00HK1J4",2,1.25,2,3,3.46,1.33,0.58,3,3.46,1.33,0.58,1.67,1.67,4,4,4,"recurrance",1,4,7
